degree,count
134,3
122,5
257,2
51,53
105,11
63,20
62,41
191,1
53,52
22,228
104,10
82,9
50,49
196,1
97,8
25,198
87,13
172,1
56,36
47,51
155,3
112,11
151,1
1,2658
341,1
146,3
709,1
31,133
240,1
110,4
201,3
417,1
121,7
224,1
93,9
298,1
30,127
90,13
17,349
77,14
119,3
65,22
96,7
244,1
34,100
35,108
103,3
32,112
38,85
213,1
7,965
167,2
16,333
78,12
108,5
214,1
234,1
351,1
320,1
288,2
193,2
61,32
220,1
39,71
205,1
139,2
94,12
46,49
55,36
148,4
290,1
659,1
85,8
237,1
27,149
2,2322
28,146
80,11
21,232
52,36
71,20
57,37
330,2
328,1
20,263
118,3
370,1
107,7
92,9
678,1
364,1
117,5
162,1
15,379
75,16
127,3
177,3
132,3
150,1
189,1
42,68
229,2
3,1850
241,1
163,1
109,5
111,3
650,1
54,34
37,89
19,264
106,8
18,316
70,19
86,12
11,552
69,32
387,1
504,1
45,59
168,1
88,12
222,3
124,2
49,44
225,1
14,390
36,106
142,4
296,1
6,1114
12,490
5,1360
128,1
129,3
216,1
95,4
178,1
84,9
181,2
145,4
275,2
138,5
149,1
260,1
266,1
67,27
89,10
380,1
448,1
114,6
76,19
135,3
68,25
10,621
81,12
100,5
13,453
120,7
166,1
58,27
203,1
183,2
113,4
91,7
41,69
152,1
60,38
8,813
72,15
157,1
44,67
123,3
375,1
170,1
408,1
195,1
212,1
115,4
188,2
133,3
182,2
194,1
99,13
158,1
48,53
233,1
147,2
236,2
217,1
174,2
153,1
141,4
43,78
98,3
29,149
64,26
66,23
4,1509
171,1
33,131
9,729
280,1
59,38
136,1
140,3
169,1
333,1
24,194
79,10
40,73
74,19
143,3
144,3
83,17
26,192
137,1
256,1
338,1
226,2
126,2
102,5
131,3
326,1
23,214
218,1
199,2
116,7
185,1
468,1
125,4
101,8
73,19
156,3
